SC2,SC3,SC4,B2b,H9New,H10,H11,H12,Z1,Z5,Z10,WEIGHT
6,1,4817,4,4,1,4.0,3.0,6,7,2,0.67
6,1,4817,4,4,2,4.0,4.0,6,8,2,0.67
6,1,4814,3,3,1,3.0,2.0,6,8,2,0.67
6,1,4814,4,4,1,4.0,4.0,6,6,2,0.67
6,1,4810,4,3,1,4.0,3.0,6,8,2,0.67
6,1,4809,6,3,1,,,4,8,2,0.67
6,1,4800,4,3,1,3.0,3.0,6,7,2,0.67
6,1,4754,4,2,1,3.0,3.0,6,7,2,0.67
6,1,4718,5,5,2,5.0,5.0,6,8,2,0.67
6,1,4703,3,3,1,3.0,3.0,6,7,2,0.67
6,1,4680,4,3,1,3.0,3.0,6,8,2,0.67
6,1,4670,5,4,2,5.0,3.0,6,3,2,0.67
6,1,4670,3,2,2,4.0,3.0,6,8,2,0.67
6,1,4670,3,3,1,,,6,8,2,0.67
6,1,4670,5,4,1,4.0,4.0,6,8,2,0.67
6,1,4655,3,4,1,,,6,3,2,0.67
6,1,4655,4,5,1,5.0,5.0,5,8,2,0.67
6,1,4655,5,5,1,5.0,5.0,6,7,2,0.67
6,1,4655,5,4,1,4.0,3.0,5,8,2,0.67
6,1,4650,3,3,1,3.0,3.0,6,8,2,0.67
6,1,4650,3,4,1,3.0,2.0,5,8,2,0.67
6,1,4650,5,3,1,4.0,4.0,4,3,2,0.67
6,1,4615,4,4,2,4.0,4.0,5,3,2,0.67
6,1,4570,4,2,1,3.0,3.0,4,3,2,0.67
6,1,4356,5,4,1,4.0,4.0,6,3,2,0.67
6,1,4350,4,4,1,4.0,4.0,6,3,2,0.67
6,1,4350,3,4,1,4.0,4.0,6,8,2,0.67
6,1,4350,2,2,1,3.0,3.0,5,7,2,0.67
6,1,4301,4,3,1,4.0,4.0,6,8,2,0.67
6,1,4078,3,4,1,4.0,2.0,6,97,2,0.67
7,1,4573,3,3,1,3.0,3.0,6,8,1,0.71
7,1,4562,6,4,1,4.0,3.0,5,8,2,0.71
7,1,4560,2,4,2,4.0,4.0,6,8,2,0.71
7,1,4557,5,4,1,4.0,4.0,6,8,2,0.71
7,1,4556,3,3,1,4.0,3.0,6,2,2,0.71
7,1,4551,6,3,1,,,6,8,2,0.71
7,1,4551,2,3,1,,,6,8,2,0.71
7,1,4551,3,3,1,3.0,3.0,3,8,2,0.71
7,1,4551,2,4,1,4.0,3.0,6,8,2,0.71
7,1,4521,2,3,1,3.0,4.0,6,3,2,0.71
7,1,4510,2,3,1,3.0,3.0,6,97,2,0.71
7,1,4510,4,4,1,4.0,4.0,2,8,2,0.71
7,1,4508,3,6,1,3.0,4.0,6,8,2,0.71
7,1,4507,4,3,1,4.0,3.0,6,8,2,0.71
7,1,4507,4,5,1,5.0,5.0,6,8,2,0.71
7,1,4506,4,4,1,,,3,97,1,0.71
7,1,4505,4,4,1,4.0,4.0,6,3,2,0.71
7,1,4504,3,3,1,4.0,4.0,6,3,2,0.71
7,1,4503,5,4,1,4.0,4.0,6,8,1,0.71
7,1,4503,1,2,1,1.0,2.0,6,8,2,0.71
7,1,4502,4,4,1,4.0,4.0,6,3,2,0.71
7,1,4501,4,4,1,4.0,4.0,6,8,2,0.71
7,1,4500,3,2,1,1.0,1.0,6,7,1,0.71
7,1,4306,2,2,1,3.0,3.0,6,8,2,0.71
7,1,4305,4,4,2,4.0,4.0,6,8,2,0.71
7,1,4285,4,5,1,4.0,4.0,6,8,2,0.71
7,1,4226,4,3,1,4.0,5.0,4,8,1,0.71
7,1,4225,4,4,1,4.0,4.0,6,8,2,0.71
7,1,4220,4,4,1,4.0,3.0,6,8,2,0.71
7,1,4220,5,4,2,4.0,5.0,6,97,2,0.71
7,1,4218,5,4,1,4.0,3.0,6,8,2,0.71
7,1,4216,5,3,1,4.0,4.0,6,8,1,0.71
7,1,4215,5,4,1,4.0,3.0,6,3,2,0.71
7,1,4213,5,4,1,5.0,4.0,6,8,2,0.71
