SC2,SC3,SC4,B2b,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E1_12,E1_13,E1_14,E1_15,E1_16,E1_15_TEXT,E2,E3,E3_TEXT,E8,E8a,E7,H1,H3_1,H3_2,H3_3,H3_4,H3_5,H3_6,H3_7,H7_1,H7_2,H7_3,H7_4,H7_5,H7_5_TEXT,H8,H9New,H10,H11,H12,Z1,Z5,Z5_TEXT,Z10,WEIGHT
4,2,4870,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,14,3,,1,,3,99,0,1,0,0,0,1,0,0,0,0,0,0,,1,6,2,3,3,6,7,,2,0.67
4,2,4812,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,6,5,,1,,3,99,0,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,4,3,,2,0.67
4,2,4740,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,1,0,0,1,0,0,0,0,0,0,,2,3,2,,,6,4,,2,0.67
4,2,4670,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,1,1,0,1,0,1,0,0,1,0,0,0,,1,4,1,,,5,8,,2,0.67
4,2,4655,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,,,5,2,,2,0.67
4,2,4570,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,,1,3,2,,,5,8,,2,0.67
4,2,4077,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,,,3,3,,1,0.67
4,2,4077,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,99,0,0,0,1,0,0,0,0,0,0,0,0,,1,4,1,,,4,5,,2,0.67
6,2,4703,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,3,1,3,3,6,8,,2,0.69
6,2,4670,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,5,2,1,1,1,0,0,0,0,0,1,1,0,0,,1,4,1,4,4,6,8,,2,0.69
6,2,4310,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,5,,1,,4,2,0,1,0,0,0,0,0,0,0,0,0,0,,2,3,1,3,3,6,8,,2,0.69
4,2,4306,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,3,3,,1,,3,1,1,1,0,0,0,0,0,0,1,0,0,0,,1,3,2,3,3,6,5,,2,0.75
4,2,4209,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,,1,,3,2,0,1,0,0,0,1,0,0,0,0,0,0,,2,3,1,3,4,6,97,"Family, children aged 15 & 7",2,0.75
4,2,4207,99,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,10,1,,1,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,,2,6,1,3,2,6,5,,2,0.75
4,2,4207,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,,2,6,2,,,6,5,,2,0.75
4,2,4128,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,1,1,1,1,1,1,0,0,0,0,0,1,internet,1,4,1,,,6,5,,2,0.75
4,2,4116,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,3,1,,1,,3,99,0,0,0,0,0,1,0,0,0,0,0,0,,99,4,1,4,5,3,2,,1,0.75
4,2,4074,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,1,0,0,1,0,1,0,0,0,0,1,0,,1,4,1,,,6,6,,2,0.75
4,2,4068,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,12,3,,1,,4,2,0,0,0,1,0,0,0,0,0,0,0,0,,1,4,1,4,3,2,6,,1,0.75
4,2,4055,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,2,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,3,3,6,7,,2,0.75
4,2,4053,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,8,5,,1,,5,1,1,1,1,1,1,1,0,0,1,0,0,0,,1,5,1,4,3,6,5,,2,0.75
4,2,4053,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,5,5,,1,,5,1,1,1,0,0,0,1,0,0,1,0,0,0,,1,4,1,5,4,6,6,,2,0.75
2,2,4500,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,5,3,,1,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,,1,3,2,3,3,4,97,Couple- Pregnant,2,0.94
