SC2,SC3,SC4,Z1,Z5,Z10
6,1,4810,6,8,2
6,1,4700,3,9,1
6,1,4700,5,8,2
6,1,4680,1,1,2
6,1,4680,4,2,2
6,1,4670,5,8,2
6,1,4670,6,3,2
6,1,4655,6,3,2
6,1,4580,6,7,2
6,1,4570,6,3,2
6,1,4352,6,5,2
6,1,4350,6,3,2
6,1,4077,6,2,2
7,1,4509,4,8,2
7,1,4507,6,8,2
7,1,4500,6,8,2
7,1,4216,6,1,2
7,1,4215,3,8,2
7,1,4215,6,8,2
7,1,4179,6,1,2
7,1,4152,4,7,1
7,1,4124,6,8,2
7,1,4116,6,8,2
6,1,4551,6,8,2
6,1,4510,6,7,2
6,1,4509,6,8,2
6,1,4501,6,3,2
6,1,4280,6,2,2
6,1,4227,6,7,2
6,1,4217,4,8,2
6,1,4214,6,8,1
6,1,4178,3,3,1
6,1,4178,6,3,2
6,1,4169,6,8,2
6,1,4157,6,7,2
6,1,4109,6,8,2
6,1,4101,6,3,1
6,1,4064,3,2,2
6,1,4059,1,8,2
6,1,4051,6,6,2
6,1,4034,3,3,2
6,1,4020,6,3,1
4,1,4567,6,1,2
4,1,4557,3,5,2
4,1,4556,6,1,2
4,1,4510,3,1,1
4,1,4509,6,6,2
4,1,4508,6,4,2
4,1,4500,3,7,2
4,1,4500,4,3,2
4,1,4305,6,5,1
4,1,4305,6,4,1
4,1,4305,6,4,1
4,1,4305,6,4,1
4,1,4305,6,4,1
4,1,4305,6,4,1
4,1,4227,6,5,2
4,1,4217,6,5,1
4,1,4217,1,3,2
4,1,4215,5,6,1
4,1,4210,6,2,2
4,1,4208,6,6,2
4,1,4207,6,4,2
4,1,4172,6,2,2
4,1,4170,5,3,2
4,1,4160,6,6,2
4,1,4160,6,4,2
4,1,4158,5,4,2
4,1,4153,5,5,2
4,1,4152,6,5,2
4,1,4152,6,5,2
4,1,4127,3,6,1
4,1,4122,6,1,1
4,1,4119,6,4,1
4,1,4118,3,4,1
4,1,4118,6,6,2
4,1,4118,6,5,2
4,1,4118,6,6,2
4,1,4113,6,3,1
4,1,4113,6,4,1
4,1,4113,6,3,1
4,1,4113,6,6,2
4,1,4110,6,4,1
4,1,4109,3,3,2
4,1,4101,6,4,1
4,1,4101,6,4,1
4,1,4074,3,5,1
4,1,4074,5,1,2
4,1,4068,4,1,2
4,1,4066,4,5,2
4,1,4059,5,3,1
4,1,4054,5,5,1
4,1,4053,6,2,1
4,1,4034,6,4,2
4,1,4031,6,8,2
4,1,4030,4,2,1
4,1,4019,6,3,2
4,1,4018,1,5,1
4,1,4017,6,8,2
4,1,4006,6,3,2
4,1,4000,6,4,1
4,1,4879,3,6,2
4,1,4877,6,3,2
4,1,4872,6,5,2
4,1,4870,3,8,2
4,1,4870,6,2,2
4,1,4868,6,6,2
4,1,4860,6,5,2
4,1,4817,6,3,2
4,1,4815,6,5,1
4,1,4810,6,6,2
4,1,4805,3,3,1
4,1,4802,6,4,1
4,1,4802,6,4,1
4,1,4701,6,5,2
4,1,4680,6,8,2
4,1,4680,6,8,2
4,1,4680,6,8,2
4,1,4680,6,1,2
4,1,4680,4,6,2
4,1,4655,4,5,2
4,1,4570,6,2,2
4,1,4402,6,4,1
4,1,4350,4,9,1
4,1,4350,6,6,2
4,1,4304,6,5,2
4,1,4304,6,2,2
4,1,4304,6,5,2
4,1,4301,6,2,2
3,1,4560,3,5,2
3,1,4506,6,7,2
3,1,4503,5,5,2
3,1,4502,3,1,2
3,1,4305,6,5,2
3,1,4218,4,3,2
3,1,4217,6,5,1
3,1,4217,6,5,2
3,1,4212,6,1,2
3,1,4211,6,1,2
3,1,4211,6,1,2
3,1,4211,6,2,2
3,1,4179,6,1,2
3,1,4179,6,3,2
3,1,4178,3,5,2
3,1,4173,6,5,2
3,1,4164,6,2,2
3,1,4156,4,3,2
3,1,4128,2,8,2
3,1,4123,6,2,2
3,1,4122,6,1,1
3,1,4116,5,2,2
3,1,4114,6,7,2
3,1,4113,6,4,2
3,1,4113,6,9,2
3,1,4109,6,7,2
3,1,4109,3,1,2
3,1,4107,2,2,1
3,1,4105,6,1,2
3,1,4105,3,5,2
3,1,4104,2,4,2
3,1,4101,5,3,2
3,1,4074,6,3,2
3,1,4069,5,3,2
3,1,4068,6,3,2
3,1,4067,6,3,2
3,1,4064,6,3,2
3,1,4055,3,5,2
3,1,4055,3,5,2
3,1,4053,6,1,2
3,1,4053,3,3,2
3,1,4032,6,9,2
3,1,4010,4,6,2
3,1,4007,6,3,1
3,1,4000,3,4,1
3,1,4000,3,4,1
3,1,4000,2,3,2
3,1,4000,2,4,2
3,1,4878,4,3,2
3,1,4870,4,3,2
3,1,4870,4,3,2
3,1,4870,4,3,2
3,1,4865,6,1,2
3,1,4814,1,3,1
3,1,4814,6,7,2
3,1,4814,6,3,2
3,1,4810,3,2,1
3,1,4810,5,1,2
3,1,4800,6,1,2
3,1,4680,3,3,1
3,1,4680,6,3,2
3,1,4655,2,4,2
3,1,4350,5,1,2
3,1,4350,6,3,2
3,1,4303,6,3,2
3,1,4301,4,4,1
3,1,4301,6,5,2
3,1,4078,3,4,1
3,1,4078,6,2,2
3,1,4077,6,9,1
3,1,4075,3,4,1
3,1,4075,3,1,2
3,1,,6,1,2
5,1,4879,2,3,2
5,1,4870,4,6,2
5,1,4818,6,6,2
5,1,4817,6,8,2
